date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:40	122/122	---M-Z	200	added ('OK')	text/plain	date:Mon,%2022%20Jan%202024%2002:07:38%20GMT	https://bacsihoa.vn/robots.txt		(from )
09:07:40	98845/98845	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jan%202024%2002:07:39%20GMT	https://bacsihoa.vn/	/Users/vuongkma/Downloads/bacsihue/bacsihoa.vn/index.html	(from )
09:07:40	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2022%20Jan%202024%2002:07:39%20GMT	https://bacsihoa.vn/xmlrpc.php	/Users/vuongkma/Downloads/bacsihue/bacsihoa.vn/xmlrpc.php	(from https://bacsihoa.vn/)
09:07:41	5448/5448	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2013:05:40%20GMT	https://bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.countup.js?ver=3.16.4	/Users/vuongkma/Downloads/bacsihue/bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.countupafc7.js	(from https://bacsihoa.vn/)
09:07:42	10850/10850	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2013:05:40%20GMT	https://bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebar.js?ver=3.16.4	/Users/vuongkma/Downloads/bacsihue/bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.sticky-sidebarafc7.js	(from https://bacsihoa.vn/)
09:07:43	16876/16876	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2013:05:40%20GMT	https://bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.tooltips.js?ver=3.16.4	/Users/vuongkma/Downloads/bacsihue/bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.tooltipsafc7.js	(from https://bacsihoa.vn/)
09:07:44	20237/20237	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2013:05:40%20GMT	https://bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.vendors-popups.js?ver=3.16.4	/Users/vuongkma/Downloads/bacsihue/bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.vendors-popupsafc7.js	(from https://bacsihoa.vn/)
09:07:45	49588/49588	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2013:05:40%20GMT	https://bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.vendors-slider.js?ver=3.16.4	/Users/vuongkma/Downloads/bacsihue/bacsihoa.vn/wp-content/themes/flatsome/assets/js/chunk.vendors-sliderafc7.js	(from https://bacsihoa.vn/)
09:07:46	217/217	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2013:45:16%20GMT	https://bacsihoa.vn/wp-includes/css/classic-themes.min.css?ver=1	/Users/vuongkma/Downloads/bacsihue/bacsihoa.vn/wp-includes/css/classic-themes.min68b3.css	(from https://bacsihoa.vn/)
09:07:47	40104/40104	---MCZ	200	added ('OK')	application/rss+xml	etag:%2283c49fc6895bb3f223a036cb7126f5e1%22	https://bacsihoa.vn/feed/	/Users/vuongkma/Downloads/bacsihue/bacsihoa.vn/feed/index.html	(from https://bacsihoa.vn/)
